deg,level,sheets,recall_f,recall_r,wrong_f,wrong_r,sug_f,sug_r,noise_f,noise_r,nlines
none,0,15,0.55,0.517,0.0,0.0,1.8,1.933,0.133,0.133,9.933
blur,0,15,0.55,0.517,0.0,0.0,1.8,1.933,0.133,0.133,9.933
blur,1,15,0.6,0.55,0.0,0.0,1.6,1.8,0.067,0.067,9.933
blur,2,15,0.467,0.45,0.0,0.0,2.133,2.2,0.133,0.067,9.933
blur,3,15,0.017,0.017,0.0,0.0,1.867,1.867,0.4,0.4,5.933
dark,0,15,0.55,0.517,0.0,0.0,1.8,1.933,0.133,0.133,9.933
dark,1,15,0.467,0.433,0.0,0.0,2.133,2.267,0.067,0.067,9.933
dark,2,15,0.567,0.55,0.0,0.0,1.733,1.8,0.133,0.133,9.933
dark,3,15,0.6,0.55,0.0,0.0,1.6,1.8,0.133,0.133,9.933
rotate,0,15,0.55,0.517,0.0,0.0,1.8,1.933,0.133,0.133,9.933
rotate,1,15,0.6,0.55,0.0,0.0,1.6,1.8,0.133,0.133,9.933
rotate,2,15,0.6,0.55,0.0,0.0,1.6,1.8,0.133,0.133,9.933
rotate,3,15,0.6,0.55,0.0,0.0,1.6,1.8,0.133,0.133,9.933
wrinkle,0,15,0.55,0.517,0.0,0.0,1.8,1.933,0.133,0.133,9.933
wrinkle,1,15,0.55,0.5,0.0,0.0,1.8,2.0,0.067,0.067,9.933
wrinkle,2,15,0.533,0.517,0.0,0.0,1.867,1.933,0.133,0.133,10.0
wrinkle,3,15,0.517,0.5,0.0,0.0,1.933,2.0,0.133,0.133,10.0
jpeg,0,15,0.533,0.5,0.0,0.0,1.8,1.933,0.067,0.067,9.933
jpeg,1,15,0.55,0.5,0.0,0.0,1.8,2.0,0.133,0.133,9.933
jpeg,2,15,0.567,0.517,0.0,0.0,1.6,1.8,0.2,0.2,9.933
jpeg,3,15,0.367,0.35,0.0,0.0,2.533,2.6,0.2,0.2,9.933
